"","State.Name","TP.TotPop","PS.GWPop","PS.SWPop","PS.TOPop","PS.WGWFr","PS.WGWSa","PS.WGWTo","PS.WSWFr","PS.WSWSa","PS.WSWTo","PS.WFrTo","PS.WSaTo","PS.Wtotl","DO.SSPop","DO.WGWFr","DO.WSWFr","DO.WFrTo","DO.PSDel","DO.TOTAL","IN.WGWFr","IN.WGWSa","IN.WGWTo","IN.WSWFr","IN.WSWSa","IN.WSWTo","IN.WFrTo","IN.WSaTo","IN.Wtotl","IR.WGWFr","IR.WSWFr","IR.WFrTo","IR.IrSpr","IR.IrMic","IR.IrSur","IR.IrTot","IC.WGWFr","IC.WSWFr","IC.WFrTo","IC.IrSpr","IC.IrMic","IC.IrSur","IC.IrTot","IG.WGWFr","IG.WSWFr","IG.WFrTo","IG.IrSpr","IG.IrMic","IG.IrSur","IG.IrTot","LI.WGWFr","LI.WSWFr","LI.WFrTo","AQ.WGWFr","AQ.WGWSa","AQ.WGWTo","AQ.WSWFr","AQ.WSWSa","AQ.WSWTo","AQ.WFrTo","AQ.WSaTo","AQ.WTotl","MI.WGWFr","MI.WGWSa","MI.WGWTo","MI.WSWFr","MI.WSWSa","MI.WSWTo","MI.WFrTo","MI.WSaTo","MI.Wtotl","PT.WGWFr","PT.WGWSa","PT.WGWTo","PT.WSWFr","PT.WSWSa","PT.WSWTo","PT.WFrTo","PT.WSaTo","PT.Wtotl","PT.Power","PO.WGWFr","PO.WGWSa","PO.WGWTo","PO.WSWFr","PO.WSWSa","PO.WSWTo","PO.WFrTo","PO.WSaTo","PO.WTotl","PO.Power","PC.WGWFr","PC.WGWSa","PC.WGWTo","PC.WSWFr","PC.WSWSa","PC.WSWTo","PC.WFrTo","PC.WSaTo","PC.WTotl","PC.Power","TO.WGWFr","TO.WGWSa","TO.WGWTo","TO.WSWFr","TO.WSWSa","TO.WSWTo","TO.WFrTo","TO.WSaTo","TO.WTotl"
"1","alabama",71.3393432835821,NA,NA,63.2886865671642,4.1865671641791,0,4.1865671641791,8.21746268656716,0,8.21746268656716,12.4040298507463,0,12.4040298507463,8.05065671641791,0.566716417910448,0,0.566716417910448,4.87597014925373,5.44268656716418,0.506716417910448,0,0.506716417910448,8.06686567164179,0,8.06686567164179,8.57358208955224,0,8.57358208955224,1.26716417910448,1.1044776119403,2.37164179104478,2.23298507462687,0.0211940298507463,0.00776119402985075,2.26194029850746,1.26716417910448,0.861641791044776,2.12880597014925,1.8555223880597,0.0211940298507463,0.00776119402985075,1.8844776119403,0,0.242835820895522,0.242835820895522,0.377462686567164,0,0,0.377462686567164,0.174328358208955,0.22089552238806,0.395223880597015,0.484328358208955,NA,0.484328358208955,0.397761194029851,NA,0.397761194029851,0.882089552238806,0,0.882089552238806,0.189850746268657,0,0.189850746268657,0.111791044776119,0,0.111791044776119,0.301641791044776,0,0.301641791044776,0,0,0,123.161343283582,0,123.161343283582,123.161343283582,0,123.161343283582,1865.28328358209,0,0,0,121.167611940298,0,121.167611940298,121.167611940298,0,121.167611940298,1108.99895522388,0,0,0,1.99373134328358,0,1.99373134328358,1.99373134328358,0,1.99373134328358,756.284328358209,7.37567164179104,0,7.37567164179104,141.280597014925,0,141.280597014925,148.656268656716,0,148.656268656716
"2","alaska",24.490724137931,NA,NA,15.5102413793103,0.938965517241379,0,0.938965517241379,1.78689655172414,0,1.78689655172414,2.72586206896552,0,2.72586206896552,8.98048275862069,0.487586206896552,0.0227586206896552,0.510344827586207,1.69586206896552,2.20620689655172,0.116551724137931,0,0.116551724137931,0.151724137931034,0.148275862068966,0.3,0.268275862068966,0.148275862068966,0.416551724137931,0.0541379310344828,0.000689655172413793,0.0548275862068966,0.106896551724138,0,0.00241379310344828,0.109310344827586,0.0375862068965517,0.000689655172413793,0.0382758620689655,0.0868965517241379,0,0.00241379310344828,0.0893103448275862,0.016551724137931,0,0.016551724137931,0.02,0,0,0.02,0.00344827586206897,0.00517241379310345,0.00862068965517241,14.8031034482759,NA,14.8031034482759,8.77793103448276,NA,8.77793103448276,23.5810344827586,0,23.5810344827586,0.000344827586206897,4.98137931034483,4.98172413793103,0.830344827586207,2.63344827586207,3.46379310344828,0.830689655172414,7.6148275862069,8.44551724137931,0.0755172413793103,0,0.0755172413793103,1.92413793103448,0,1.92413793103448,1.99965517241379,0,1.99965517241379,60.7724137931034,0,0,0,1.92413793103448,0,1.92413793103448,1.92413793103448,0,1.92413793103448,18.3793103448276,0.0755172413793103,0,0.0755172413793103,0,0,0,0.0755172413793103,0,0.0755172413793103,42.3931034482759,16.4796551724138,4.98137931034483,21.4610344827586,13.4996551724138,2.78172413793103,16.2813793103448,29.9793103448276,7.76310344827586,37.7424137931034
"3","arizona",426.155533333333,231.981466666667,179.6294,411.610866666667,39.0046666666667,0,39.0046666666667,41.89,0,41.89,80.8946666666667,0,80.8946666666667,14.5446666666667,1.812,0,1.812,60.8006666666667,62.6126666666667,0.861333333333333,0,0.861333333333333,0,0,0,0.861333333333333,0,0.861333333333333,112.926,191.698666666667,304.624666666667,13.0033333333333,1.87133333333333,51.336,66.2106666666667,107.827333333333,189.053333333333,296.880666666667,11.0246666666667,1.87133333333333,51.336,64.232,5.09866666666667,2.64533333333333,7.744,1.97866666666667,0,0,1.97866666666667,1.79733333333333,0,1.79733333333333,2.634,NA,2.634,0.518,NA,0.518,3.152,0,3.152,5.774,0,5.774,0,0,0,5.774,0,5.774,5.152,0,5.152,1.80933333333333,0,1.80933333333333,6.96133333333333,0,6.96133333333333,5777.98066666667,0,0,0,0,0,0,0,0,0,0,5.152,0,5.152,1.80933333333333,0,1.80933333333333,6.96133333333333,0,6.96133333333333,5777.98066666667,169.961333333333,0,169.961333333333,235.916,0,235.916,405.877333333333,0,405.877333333333
"4","arkansas",38.8789066666667,13.1387066666667,23.8144133333333,36.95312,1.78213333333333,0,1.78213333333333,3.93346666666667,0,3.93346666666667,5.7156,0,5.7156,1.92578666666667,0.1712,0,0.1712,3.93893333333333,4.11013333333333,0.748266666666667,0.0673333333333333,0.8156,2.85866666666667,0,2.85866666666667,3.60693333333333,0.0673333333333333,3.67426666666667,98.3777333333333,17.8853333333333,116.263066666667,6.91293333333333,0,55.3816,62.2945333333333,98.3777333333333,17.8853333333333,116.263066666667,6.91293333333333,0,55.3816,62.2945333333333,0,0,0,0,0,0,0,0.207466666666667,0.312,0.519466666666667,2.4152,NA,2.4152,1.1528,NA,1.1528,3.568,0,3.568,0.0024,0,0.0024,0.588133333333333,0,0.588133333333333,0.590533333333333,0,0.590533333333333,0.0568,0,0.0568,20.4672,0,20.4672,20.524,0,20.524,653.068666666667,0.0106666666666667,0,0.0106666666666667,19.6872,0,19.6872,19.6978666666667,0,19.6978666666667,267.860133333333,0.0461333333333333,0,0.0461333333333333,0.78,0,0.78,0.826133333333333,0,0.826133333333333,385.208533333333,103.7612,0.0673333333333333,103.828533333333,47.1976,0,47.1976,150.9588,0.0673333333333333,151.026133333333
"5","california",642.309586206897,251.339172413793,348.279948275862,599.619120689655,47.2793103448276,1.45327586206897,48.7325862068965,59.8660344827586,0,59.8660344827586,107.145344827586,1.45327586206897,108.598620689655,42.6904655172414,2.45637931034483,0.507758620689655,2.96413793103448,66.6489655172414,69.6131034482759,6.88396551724138,0,6.88396551724138,0.0194827586206897,0,0.0194827586206897,6.90344827586207,0,6.90344827586207,149.758275862069,247.767413793103,397.525689655172,30.9051724137931,49.876724137931,97.6893103448276,178.471206896552,147.471896551724,246.380344827586,393.85224137931,29.3318965517241,49.876724137931,97.6893103448276,176.897931034483,2.28637931034483,1.38706896551724,3.67344827586207,1.57327586206897,0,0,1.57327586206897,1.45534482758621,1.78241379310345,3.23775862068966,2.95206896551724,NA,2.95206896551724,13.8296551724138,NA,13.8296551724138,16.781724137931,0,16.781724137931,0.415862068965517,4.06896551724138,4.4848275862069,0.211206896551724,0.000862068965517241,0.212068965517241,0.627068965517241,4.0698275862069,4.69689655172414,0.571379310344828,0.835344827586207,1.40672413793103,0.55551724137931,111.849827586207,112.405344827586,1.12689655172414,112.685172413793,113.812068965517,1472.95844827586,0.0125862068965517,0,0.0125862068965517,0,111.831896551724,111.831896551724,0.0125862068965517,111.831896551724,111.844482758621,692.109827586207,0.558793103448276,0.835344827586207,1.39413793103448,0.55551724137931,0.0179310344827586,0.573448275862069,1.11431034482759,0.853275862068966,1.96758620689655,780.848620689655,211.772586206897,6.35758620689655,218.130172413793,324.539482758621,111.850689655172,436.390172413793,536.312068965517,118.208275862069,654.520344827586
"6","colorado",78.5811875,10.34175,63.370390625,73.712140625,2.0346875,0,2.0346875,11.20796875,0,11.20796875,13.24265625,0,13.24265625,4.869046875,0.59265625,0,0.59265625,8.1409375,8.73359375,0.05390625,0,0.05390625,1.9809375,0,1.9809375,2.03484375,0,2.03484375,20.26078125,131.5315625,151.79234375,22.08125,0.003125,30.09671875,52.18109375,20.144375,131.0765625,151.2209375,21.674375,0.003125,30.09671875,51.77421875,0.11640625,0.455,0.57140625,0.406875,0,0,0.406875,0.39171875,0.184375,0.57609375,0.36,NA,0.36,1.5465625,NA,1.5465625,1.9065625,0,1.9065625,0.0853125,0.3034375,0.38875,0.04765625,0,0.04765625,0.13296875,0.3034375,0.43640625,0.2621875,0,0.2621875,0.940625,0,0.940625,1.2028125,0,1.2028125,598.14265625,0.06140625,0,0.06140625,0.21515625,0,0.21515625,0.2765625,0,0.2765625,11.285,0.20078125,0,0.20078125,0.72546875,0,0.72546875,0.92625,0,0.92625,586.85765625,24.04125,0.3034375,24.3446875,147.4396875,0,147.4396875,171.4809375,0.3034375,171.784375
"7","connecticut",446.762125,NA,NA,337.8405,16.8825,0,16.8825,36.5,0,36.5,53.3825,0,53.3825,108.921625,8.16875,0,8.16875,25.33875,33.5075,0.785,0,0.785,7.5225,4.8075,12.33,8.3075,4.8075,13.115,0.10625,2.88875,2.995,2.99875,0.22875,0,3.2275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12625,0,0.12625,0.83375,NA,0.83375,2.88125,NA,2.88125,3.715,0,3.715,0.115,0,0.115,0.475,0,0.475,0.59,0,0.59,0,0,0,24.7275,307.05,331.7775,24.7275,307.05,331.7775,2699.61125,0,0,0,24.715,307.05,331.765,24.715,307.05,331.765,2692.51,0,0,0,0.0125,0,0.0125,0.0125,0,0.0125,7.10125,27.0175,0,27.0175,74.995,311.8575,386.8525,102.0125,311.8575,413.87
"8","delaware",299.311333333333,90.3123333333333,147.243333333333,237.555666666667,14.92,0,14.92,11.1,0,11.1,26.02,0,26.02,61.7556666666667,4.94,0,4.94,19.0066666666667,23.9466666666667,2.81,0,2.81,29.1766666666667,0,29.1766666666667,31.9866666666667,0,31.9866666666667,28.7066666666667,5.07,33.7766666666667,43.9666666666667,0.37,0,44.3366666666667,27.45,4.84333333333333,32.2933333333333,43.0533333333333,0.37,0,43.4233333333333,1.25666666666667,0.226666666666667,1.48333333333333,0.913333333333333,0,0,0.913333333333333,0.436666666666667,0,0.436666666666667,0.02,NA,0.02,0,NA,0,0.02,0,0.02,0.146666666666667,0,0.146666666666667,0.136666666666667,0,0.136666666666667,0.283333333333333,0,0.283333333333333,0.123333333333333,0,0.123333333333333,2.48333333333333,139.083333333333,141.566666666667,2.60666666666667,139.083333333333,141.69,1718,0,0,0,0,139.083333333333,139.083333333333,0,139.083333333333,139.083333333333,982,0.123333333333333,0,0.123333333333333,2.48333333333333,0,2.48333333333333,2.60666666666667,0,2.60666666666667,736,52.1033333333333,0,52.1033333333333,47.9666666666667,139.083333333333,187.05,100.07,139.083333333333,239.153333333333
"9","district of columbia",601.723,0,601.723,601.723,0,0,0,0,0,0,0,0,0,0,0,0,0,74.94,74.94,0,0,0,0,0,0,0,0,0,0.05,0.05,0.1,0.32,0,0,0.32,0,0,0,0,0,0,0,0.05,0.05,0.1,0.32,0,0,0.32,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0.05,0.05,0,0.05,0.1,0,0.1
"10","florida",280.616567164179,230.158970149254,21.9859104477612,252.144880597015,27.8291044776119,2.20328358208955,30.0323880597015,3.56238805970149,0.253283582089552,3.81567164179104,31.3914925373134,2.4565671641791,33.8480597014925,28.4716865671642,3.19164179104478,0,3.19164179104478,21.3470149253731,24.5386567164179,2.46940298507463,0,2.46940298507463,0.712089552238806,0,0.712089552238806,3.18149253731343,0,3.18149253731343,23.6017910447761,19.9779104477612,43.5797014925373,8.1789552238806,10.6246268656716,10.9176119402985,29.7211940298507,22.1546268656716,18.4929850746269,40.6476119402985,6.36283582089552,10.6246268656716,10.9176119402985,27.9050746268657,1.44716417910448,1.48492537313433,2.93208955223881,1.81611940298507,0,0,1.81611940298507,0.285223880597015,0.033134328358209,0.318358208955224,0.0277611940298507,NA,0.0277611940298507,0,NA,0,0.0277611940298507,0,0.0277611940298507,1.17537313432836,0,1.17537313432836,0.509253731343284,0,0.509253731343284,1.68462686567164,0,1.68462686567164,0.648955223880597,0.0976119402985075,0.746567164179105,8.50313432835821,127.843582089552,136.34671641791,9.15208955223881,127.941194029851,137.09328358209,2975.36567164179,0.121194029850746,0,0.121194029850746,7.76791044776119,126.29776119403,134.065671641791,7.88910447761194,126.29776119403,134.186865671642,1469.21641791045,0.527761194029851,0.0976119402985075,0.625373134328358,0.735223880597015,1.54582089552239,2.2810447761194,1.26298507462687,1.6434328358209,2.90641791044776,1506.14925373134,59.2292537313433,2.30089552238806,61.5301492537313,33.2979104477612,128.096865671642,161.394776119403,92.5271641791045,130.39776119403,222.924925373134
